# Artefact digests. Written by scripts/artefact_digests.py; described by
# docs/80-artefact-digests.md. DO NOT EDIT BY HAND.
#
# Every path below is git-ignored on purpose -- .gitignore lines 4, 40,
# 74, 118 and 136 -- because the artefacts run from 345 bytes to 161 MB
# and the whole set is 1.9 GB. This file pins their IDENTITY so that the
# evidence behind docs/71, docs/74, docs/75, docs/77 and docs/79 cannot
# be silently swapped. It does NOT make the artefacts available and it
# does NOT establish that any of them is correct.
#
# sha256 is over the file's bytes. `metrics` is `k=v;k=v`, read out of the
# artefact by this script's own extractors, and is a legibility aid, not a
# check -- the digest is the check.
#
#   scripts/artefact_digests.py --check    re-verify. MISSING is not FAILED
#   scripts/artefact_digests.py --write    rebuild on a machine that has the runs

group	cites	role	path	bytes	sha256	metrics
pilot-signoff	31,32,34,79	netlist	hw/openlane/pilot_ihp/runs/signoff-6x2/final/nl/tt_um_melihakbulut_nssoc.nl.v	2565946	52b2debf3b2097c1544b2a5ea625675add5ec71a3d3ac9b68dfb5b32d6120989	lines=72858;cells=33564;flops=1296
pilot-signoff	31,32,34,79	def	hw/openlane/pilot_ihp/runs/signoff-6x2/final/def/tt_um_melihakbulut_nssoc.def	13960592	8f99c979c513ab5d9dd2ebb5e72bbf77d28180ac2d7165772664dfe09586fcf4	units_per_um=1000;diearea=(00)(1289280313740);components=33564
pilot-signoff	31,32,34,79	gds	hw/openlane/pilot_ihp/runs/signoff-6x2/final/gds/tt_um_melihakbulut_nssoc.gds	20760838	f5e2e35e1d2faac04fa731c09645aa0ae80045ca137250415a0af311e38ac98b	
pilot-signoff	31,32,34,79	metrics	hw/openlane/pilot_ihp/runs/signoff-6x2/final/metrics.json	10124	f3889ee38760ac905e86a3d4b7bc8bac34941cae4a888592a1f05621298f2bbd	keys=196;die_um2=404499;insts=33564;stdcells=12546;flops=1296;stdcell_um2=191588;util=0.487516;setup_ws_slow=1.226180081066267;setup_ws_typ=8.103343114768531;setup_ws_fast=12.137398096789024;setup_tns_slow=0;setup_vio_slow=0;hold_ws_slow=0.6040953464001406;hold_ws_typ=0.2829435654746831;hold_ws_fast=0.102949152117101;setup_bufs=20;hold_bufs=0;wirelength=472381;drc=0;slew_vio_slow=0;cap_vio_slow=0;antenna_nets=0
pilot-signoff	31,32,34,79	config	hw/openlane/pilot_ihp/runs/signoff-6x2/resolved.json	22814	c280970d1eb1478a0398e7e60aa69af387dac927dc744cd325c58ed76bbe7726	keys=411
pilot-shape6x2	26,27	netlist	hw/openlane/pilot_ihp/runs/shape-6x2/final/nl/tt_um_melihakbulut_nssoc.nl.v	2570202	2b2000b113c7d35a8a10c87ad3dc7cc8d6cea8bb4047b1b2f3d902006c83d3f8	lines=72903;cells=33801;flops=1275
pilot-shape6x2	26,27	def	hw/openlane/pilot_ihp/runs/shape-6x2/final/def/tt_um_melihakbulut_nssoc.def	13993680	868b0547e9d8ae01b211cd7c7de8da7947831098879bd9020fb02f43349800e4	units_per_um=1000;diearea=(00)(1289280313740);components=33801
pilot-shape6x2	26,27	gds	hw/openlane/pilot_ihp/runs/shape-6x2/final/gds/tt_um_melihakbulut_nssoc.gds	20773992	40cab6aa1ded3d7edcb21b626539ff3a571591ddc8523255d4e9a1eb50555c33	
pilot-shape6x2	26,27	metrics	hw/openlane/pilot_ihp/runs/shape-6x2/final/metrics.json	9933	86a97b206ce8df0e84c5baa81b48108ee96d5f88d05b22512ec5d79de2305edd	keys=192;die_um2=404499;insts=33801;stdcells=12418;flops=1275;stdcell_um2=185840;util=0.472889;setup_ws_slow=1.2347119232072035;setup_ws_typ=8.129683822906545;setup_ws_fast=12.132872827612669;setup_tns_slow=0;setup_vio_slow=0;hold_ws_slow=0.6038644200044875;hold_ws_typ=0.2907364986606824;hold_ws_fast=0.10887202558753281;setup_bufs=0;hold_bufs=1406;wirelength=469914;drc=0;slew_vio_slow=0;cap_vio_slow=0;antenna_nets=0
pilot-shape6x2	26,27	config	hw/openlane/pilot_ihp/runs/shape-6x2/resolved.json	22706	5102e3e4c36b3196b1243766b95fac763aea939ba4d7b256609adbbdd3bae478	keys=411
soc-s70boot2	70,71	netlist	hw/soc/pnr/runs/s70boot2/final/nl/soc_top.nl.v	10831575	c261069c1eaec0db24cefc1d5dba9dce447f0e075479e57311c1b19a7b5d9272	lines=363429;cells=176663;flops=5873;macros=6
soc-s70boot2	70,71	def	hw/soc/pnr/runs/s70boot2/final/def/soc_top.def	72036030	60da171a34d3520715bbc716f92b8fd98f53e6e6681c09e46d383765cc1d2646	units_per_um=1000;diearea=(00)(23064002075220);components=176663
soc-s70boot2	70,71	gds	hw/soc/pnr/runs/s70boot2/final/gds/soc_top.gds	107586140	b97e3d5e45a02a513c916c35522d0136d0e84bae38ca9ab36d654d7d7dcd44fc	
soc-s70boot2	70,71	metrics	hw/soc/pnr/runs/s70boot2/final/metrics.json	10400	f1fc4d9388f6fc3245458542a7e08636c9f8240576f8d14c97d5fab8e45b6f5b	keys=199;die_um2=4786290;insts=176663;stdcells=60868;flops=5873;clkgates=1;stdcell_um2=876321;util=0.719817;setup_ws_slow=-9.108500878019903;setup_ws_typ=1.7819666246965344;setup_ws_fast=8.052679639919136;setup_tns_slow=-19989.815538437644;setup_vio_slow=3361;hold_ws_slow=0.5896578947572936;hold_ws_typ=0.273524433067372;hold_ws_fast=0.062133189241183634;setup_bufs=102;hold_bufs=4;wirelength=4248250;drc=0;slew_vio_slow=47;cap_vio_slow=16;antenna_nets=1
soc-s70boot2	70,71	config	hw/soc/pnr/runs/s70boot2/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s71boot	71,74,75,79	netlist	hw/soc/pnr/runs/s71boot/final/nl/soc_top.nl.v	10831575	c261069c1eaec0db24cefc1d5dba9dce447f0e075479e57311c1b19a7b5d9272	lines=363429;cells=176663;flops=5873;macros=6
soc-s71boot	71,74,75,79	def	hw/soc/pnr/runs/s71boot/final/def/soc_top.def	72036030	60da171a34d3520715bbc716f92b8fd98f53e6e6681c09e46d383765cc1d2646	units_per_um=1000;diearea=(00)(23064002075220);components=176663
soc-s71boot	71,74,75,79	gds	hw/soc/pnr/runs/s71boot/final/gds/soc_top.gds	107586140	05b133cfbe87ca51a22fc3fbd3e32ef9f1aeddd1e66df08af18a2212d2604b19	
soc-s71boot	71,74,75,79	metrics	hw/soc/pnr/runs/s71boot/final/metrics.json	10400	f1fc4d9388f6fc3245458542a7e08636c9f8240576f8d14c97d5fab8e45b6f5b	keys=199;die_um2=4786290;insts=176663;stdcells=60868;flops=5873;clkgates=1;stdcell_um2=876321;util=0.719817;setup_ws_slow=-9.108500878019903;setup_ws_typ=1.7819666246965344;setup_ws_fast=8.052679639919136;setup_tns_slow=-19989.815538437644;setup_vio_slow=3361;hold_ws_slow=0.5896578947572936;hold_ws_typ=0.273524433067372;hold_ws_fast=0.062133189241183634;setup_bufs=102;hold_bufs=4;wirelength=4248250;drc=0;slew_vio_slow=47;cap_vio_slow=16;antenna_nets=1
soc-s71boot	71,74,75,79	config	hw/soc/pnr/runs/s71boot/resolved.json	34045	aa57156e5c4599b6caf57b47e69e6429c64392ba4dd42712c60ca6eaaa3ddd7c	keys=411
soc-s75w9	75,79	netlist	hw/soc/pnr/runs/s75w9/final/nl/soc_top.nl.v	10904011	8ed2497f51e138d123c28380e2266eb305fc4c0279a43ec1f09a82f764303d35	lines=367180;cells=176746;flops=5874;macros=6
soc-s75w9	75,79	def	hw/soc/pnr/runs/s75w9/final/def/soc_top.def	72794753	4c27426bf58f613907099f3b6bd097a4d9e0e1039898be99e1168f237f9a2876	units_per_um=1000;diearea=(00)(23064002075220);components=176746
soc-s75w9	75,79	gds	hw/soc/pnr/runs/s75w9/final/gds/soc_top.gds	108587456	ff0b3cb10e485eb192ca4bf9e0f46dc931bb46562cf24cbcc119a583920890d1	
